unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
219,object,pool table,0.360642567977,pool table,170886.0,303351.0,125698.0,0.360642567977
1915,object,pool table,0.330859416706,pool table,170886.0,290322.0,114659.0,0.330859416706
602,object,pool table,0.321250274421,pool table,170886.0,292528.0,112675.0,0.321250274421
872,object,pool table,0.306068240632,pool table,170886.0,287382.0,107392.0,0.306068240632
1099,object,pool table,0.30584493632,pool table,170886.0,286511.0,107128.0,0.30584493632
319,object,pool table,0.274299436785,pool table,170886.0,271668.0,95262.0,0.274299436785
1923,object,pool table,0.256039452298,pool table,170886.0,258785.0,87587.0,0.256039452298
1902,object,car,0.251031168899,car,380353.0,242937.0,125069.0,0.251031168899
1076,object,pool table,0.223596770383,pool table,170886.0,269358.0,80449.0,0.223596770383
263,object,pool table,0.217793242004,pool table,170886.0,247359.0,74800.0,0.217793242004
641,object,pool table,0.208916555298,pool table,170886.0,241606.0,71284.0,0.208916555298
1383,object,pool table,0.202293959334,pool table,170886.0,255742.0,71783.0,0.202293959334
1945,object,pool table,0.200939724374,pool table,170886.0,249055.0,70264.0,0.200939724374
531,object,grass,0.196888354973,grass,272458.0,256587.0,87028.0,0.196888354973
1229,object,pool table,0.192695720678,pool table,170886.0,259082.0,69467.0,0.192695720678
1961,object,pool table,0.189977901584,pool table,170886.0,211442.0,61038.0,0.189977901584
978,object,pool table,0.182260781154,pool table,170886.0,252374.0,65251.0,0.182260781154
1310,object,pool table,0.180637925954,pool table,170886.0,241793.0,63140.0,0.180637925954
1580,object,grass,0.170529829851,grass,272458.0,271019.0,79177.0,0.170529829851
236,object,pool table,0.169069301466,pool table,170886.0,218863.0,56365.0,0.169069301466
677,object,pool table,0.164521279178,pool table,170886.0,236849.0,57604.0,0.164521279178
1570,object,car,0.158027437035,car,380353.0,219489.0,81856.0,0.158027437035
1535,object,pool table,0.14889732527,pool table,170886.0,201652.0,48281.0,0.14889732527
1947,object,pool table,0.147720244072,pool table,170886.0,228065.0,51348.0,0.147720244072
220,object,pool table,0.145388458516,pool table,170886.0,237193.0,51799.0,0.145388458516
1429,object,pool table,0.14332925409,pool table,170886.0,215900.0,48488.0,0.14332925409
1341,object,pool table,0.141815471279,pool table,170886.0,244237.0,51559.0,0.141815471279
1293,object,pool table,0.140324650001,pool table,170886.0,232627.0,49655.0,0.140324650001
369,object,person,0.136808864638,person,1104355.0,281980.0,166838.0,0.136808864638
1872,object,grass,0.136617926536,grass,272458.0,237705.0,61320.0,0.136617926536
693,object,pool table,0.13632905308,pool table,170886.0,242823.0,49634.0,0.13632905308
1711,object,tree,0.136169687827,tree,1331577.0,280199.0,193171.0,0.136169687827
966,object,pool table,0.135940314486,pool table,170886.0,206863.0,45206.0,0.135940314486
1871,object,pool table,0.132534687158,pool table,170886.0,238463.0,47904.0,0.132534687158
1128,object,car,0.132218284392,car,380353.0,245809.0,73122.0,0.132218284392
1144,object,pool table,0.131939629591,pool table,170886.0,237262.0,47574.0,0.131939629591
2045,object,pool table,0.131411651779,pool table,170886.0,260519.0,50107.0,0.131411651779
79,object,book,0.130721788211,book,187631.0,266122.0,52458.0,0.130721788211
1733,object,washer,0.129564654844,washer,41680.0,255147.0,34047.0,0.129564654844
1259,object,toilet,0.126440094031,toilet,79529.0,268354.0,39049.0,0.126440094031
1047,object,pool table,0.125205990932,pool table,170886.0,229918.0,44599.0,0.125205990932
711,object,toilet,0.125035615016,toilet,79529.0,275845.0,39496.0,0.125035615016
224,object,pool table,0.124988552637,pool table,170886.0,234498.0,45039.0,0.124988552637
848,object,pool table,0.124820027874,pool table,170886.0,219737.0,43347.0,0.124820027874
541,object,washer,0.12477162775,washer,41680.0,255677.0,32986.0,0.12477162775
1555,object,tvmonitor,0.123143450218,tvmonitor,139477.0,244145.0,42061.0,0.123143450218
1093,object,cradle,0.123045137161,cradle,35491.0,262381.0,32636.0,0.123045137161
701,object,grass,0.122305505405,grass,272458.0,272712.0,59411.0,0.122305505405
53,object,road,0.121978620084,road,1924478.0,295663.0,241368.0,0.121978620084
643,object,counter,0.11997441921,counter,173766.0,260550.0,46525.0,0.11997441921
1673,object,pool table,0.119289025108,pool table,170886.0,243974.0,44214.0,0.119289025108
601,object,pool table,0.118555038353,pool table,170886.0,255647.0,45208.0,0.118555038353
1588,object,washer,0.117587036362,washer,41680.0,261708.0,31921.0,0.117587036362
1201,object,bed,0.116773799443,bed,1574503.0,233575.0,189059.0,0.116773799443
1079,object,washer,0.116063002647,washer,41680.0,225597.0,27795.0,0.116063002647
1017,object,case,0.115734528568,case,78681.0,238953.0,32948.0,0.115734528568
