unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
1492,object,bus,0.382972701633,bus,458866.0,523306.0,271983.0,0.382972701633
75,object,pool table,0.318720681466,pool table,221990.0,315510.0,129908.0,0.318720681466
1519,object,bus,0.278626324945,bus,458866.0,409912.0,189316.0,0.278626324945
2194,object,pool table,0.275204036403,pool table,221990.0,551902.0,167015.0,0.275204036403
2172,object,pool table,0.249089282727,pool table,221990.0,509729.0,145917.0,0.249089282727
1523,object,bus,0.209134395182,bus,458866.0,385903.0,146113.0,0.209134395182
2179,object,train,0.20310447909,train,482027.0,489919.0,164081.0,0.20310447909
1423,object,pool table,0.198961963896,pool table,221990.0,491125.0,118338.0,0.198961963896
407,object,painting,0.196963821078,painting,734016.0,349338.0,178269.0,0.196963821078
2169,object,train,0.195650390881,train,482027.0,538408.0,166979.0,0.195650390881
1414,object,pool table,0.187612996014,pool table,221990.0,362641.0,92357.0,0.187612996014
1420,object,pool table,0.184538464114,pool table,221990.0,308701.0,82676.0,0.184538464114
542,object,track,0.173473264318,track,204995.0,289225.0,73060.0,0.173473264318
1530,object,bus,0.170712448341,bus,458866.0,409956.0,126691.0,0.170712448341
1403,object,pool table,0.166748378549,pool table,221990.0,401518.0,89110.0,0.166748378549
1622,object,motorbike,0.161278207153,motorbike,196731.0,514423.0,98765.0,0.161278207153
1207,object,motorbike,0.160282788392,motorbike,196731.0,447277.0,88964.0,0.160282788392
264,object,track,0.156139267657,track,204995.0,261254.0,62968.0,0.156139267657
511,object,car,0.151262222876,car,1404867.0,317617.0,226314.0,0.151262222876
514,object,bus,0.150823638346,bus,458866.0,234656.0,90891.0,0.150823638346
629,object,car,0.150323501491,car,1404867.0,303720.0,223277.0,0.150323501491
1888,object,track,0.144529864372,track,204995.0,495170.0,88416.0,0.144529864372
1210,object,motorbike,0.14340605498,motorbike,196731.0,512693.0,88976.0,0.14340605498
1804,object,cradle,0.138778935037,cradle,80089.0,409849.0,59707.0,0.138778935037
1437,object,pool table,0.138098270804,pool table,221990.0,367727.0,71557.0,0.138098270804
1820,object,cradle,0.134831300072,cradle,80089.0,396278.0,56598.0,0.134831300072
1707,object,bed,0.13331894673,bed,2701545.0,481005.0,374382.0,0.13331894673
1958,object,train,0.131076436311,train,482027.0,511782.0,115169.0,0.131076436311
1218,object,bicycle,0.130724638846,bicycle,183866.0,379063.0,65081.0,0.130724638846
800,object,bicycle,0.130071537584,bicycle,183866.0,233014.0,47983.0,0.130071537584
1106,object,sofa,0.129486245098,sofa,801422.0,483311.0,147284.0,0.129486245098
1885,object,cradle,0.128547048651,cradle,80089.0,516391.0,67942.0,0.128547048651
1621,object,toilet,0.127303595861,toilet,145593.0,507773.0,73783.0,0.127303595861
1580,object,bus,0.126560610361,bus,458866.0,422359.0,98999.0,0.126560610361
2035,object,dog,0.126282057118,dog,157609.0,460962.0,69356.0,0.126282057118
972,object,lamp,0.125466584855,lamp,207449.0,320809.0,58890.0,0.125466584855
1780,object,cradle,0.121684414521,cradle,80089.0,480189.0,60781.0,0.121684414521
1828,object,train,0.119644182571,train,482027.0,398918.0,94137.0,0.119644182571
505,object,sink,0.117584258628,sink,212829.0,270800.0,50884.0,0.117584258628
1632,object,bus,0.116986630675,bus,458866.0,372859.0,87110.0,0.116986630675
1455,object,skyscraper,0.11684797066,skyscraper,142853.0,486913.0,65888.0,0.11684797066
68,object,pool table,0.115472760035,pool table,221990.0,224343.0,46204.0,0.115472760035
1206,object,bicycle,0.1146664689,bicycle,183866.0,402307.0,60300.0,0.1146664689
1782,object,sofa,0.114468627235,sofa,801422.0,454758.0,129024.0,0.114468627235
1689,object,toilet,0.113871827558,toilet,145593.0,527219.0,68782.0,0.113871827558
533,object,toilet,0.113796323588,toilet,145593.0,258734.0,41310.0,0.113796323588
1813,object,stairway,0.113602343755,stairway,168044.0,492585.0,67393.0,0.113602343755
1299,object,bus,0.112831037298,bus,458866.0,350703.0,82083.0,0.112831037298
1716,object,bed,0.111536703113,bed,2701545.0,476075.0,318857.0,0.111536703113
2081,object,track,0.11087265137,track,204995.0,493785.0,69743.0,0.11087265137
1852,object,train,0.110686551128,train,482027.0,452498.0,93131.0,0.110686551128
1961,object,train,0.110340105616,train,482027.0,421248.0,89763.0,0.110340105616
1531,object,work surface,0.107889863043,work surface,136955.0,429539.0,55167.0,0.107889863043
1704,object,sink,0.107579001225,sink,212829.0,445259.0,63920.0,0.107579001225
1968,object,train,0.106974393326,train,482027.0,426882.0,87834.0,0.106974393326
1639,object,apparel,0.105900581545,apparel,108921.0,489912.0,57344.0,0.105900581545
788,object,stairway,0.103940481061,stairway,168044.0,252915.0,39635.0,0.103940481061
1898,object,train,0.102483394353,train,482027.0,464724.0,88007.0,0.102483394353
1697,object,car,0.102481170804,car,1404867.0,443317.0,171798.0,0.102481170804
1636,object,counter,0.102463859826,counter,283549.0,479539.0,70922.0,0.102463859826
1211,object,bus,0.101937307724,bus,458866.0,296555.0,69882.0,0.101937307724
695,object,chest of drawers,0.101311673716,chest of drawers,210342.0,277647.0,44891.0,0.101311673716
1698,object,tvmonitor,0.100589891114,tvmonitor,257910.0,498652.0,69147.0,0.100589891114
1514,object,bus,0.100272569276,bus,458866.0,416688.0,79793.0,0.100272569276
1696,object,tvmonitor,0.100199414472,tvmonitor,257910.0,477526.0,66979.0,0.100199414472
249,object,cushion,0.0993179404701,cushion,167771.0,294966.0,41806.0,0.0993179404701
2079,object,train,0.0987808806403,train,482027.0,493530.0,87703.0,0.0987808806403
1475,object,skyscraper,0.0987451688579,skyscraper,142853.0,377961.0,46806.0,0.0987451688579
1801,object,sofa,0.0986898868095,sofa,801422.0,482173.0,115299.0,0.0986898868095
739,object,pool table,0.097780101606,pool table,221990.0,214719.0,38898.0,0.097780101606
2044,object,washer,0.097752760029,washer,81108.0,473132.0,49354.0,0.097752760029
1932,object,cradle,0.0974996968104,cradle,80089.0,462888.0,48237.0,0.0974996968104
1561,object,bus,0.0968688030129,bus,458866.0,462642.0,81382.0,0.0968688030129
