unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
488,object,bus,0.47068926355,bus,458866.0,544725.0,321196.0,0.47068926355
219,object,pool table,0.289766231958,pool table,221990.0,519258.0,166533.0,0.289766231958
872,object,pool table,0.27653973133,pool table,221990.0,495650.0,155464.0,0.27653973133
441,object,bus,0.268101274664,bus,458866.0,448936.0,191927.0,0.268101274664
550,object,train,0.2637236498,train,482027.0,538536.0,212979.0,0.2637236498
280,object,train,0.263123171398,train,482027.0,500146.0,204598.0,0.263123171398
1775,object,bus,0.254871826898,bus,458866.0,465450.0,187734.0,0.254871826898
602,object,pool table,0.252076491492,pool table,221990.0,484096.0,142154.0,0.252076491492
1915,object,pool table,0.249118951681,pool table,221990.0,485120.0,141023.0,0.249118951681
1465,object,train,0.216707575014,train,482027.0,521775.0,178787.0,0.216707575014
1258,object,mountain,0.208464506239,mountain,506518.0,477328.0,169717.0,0.208464506239
1099,object,pool table,0.206832135051,pool table,221990.0,499622.0,123673.0,0.206832135051
1655,object,train,0.203454566254,train,482027.0,496325.0,165399.0,0.203454566254
63,object,sofa,0.201257411306,sofa,801422.0,490391.0,216429.0,0.201257411306
319,object,pool table,0.194570649503,pool table,221990.0,451362.0,109675.0,0.194570649503
110,object,track,0.194075592335,track,204995.0,526719.0,118927.0,0.194075592335
474,object,dog,0.189338347,dog,157609.0,488260.0,102820.0,0.189338347
1521,object,bus,0.183927407616,bus,458866.0,389476.0,131793.0,0.183927407616
1891,object,train,0.179491944859,train,482027.0,463600.0,143903.0,0.179491944859
557,object,bicycle,0.175360958466,bicycle,183866.0,452237.0,94905.0,0.175360958466
107,object,train,0.173790870495,train,482027.0,420671.0,133653.0,0.173790870495
1772,object,motorbike,0.170648680803,motorbike,196731.0,448760.0,94095.0,0.170648680803
641,object,pool table,0.170613771168,pool table,221990.0,431662.0,95268.0,0.170613771168
1840,object,bus,0.1704602505,bus,458866.0,438719.0,130720.0,0.1704602505
1923,object,pool table,0.166796907132,pool table,221990.0,458878.0,97332.0,0.166796907132
263,object,pool table,0.166675825308,pool table,221990.0,457398.0,97060.0,0.166675825308
1538,object,horse,0.160920655925,horse,119789.0,466260.0,81235.0,0.160920655925
666,object,seat,0.156075942874,seat,595164.0,486641.0,146049.0,0.156075942874
1902,object,car,0.155098102033,car,1404867.0,376255.0,239156.0,0.155098102033
55,object,water,0.154814294343,water,532714.0,497788.0,138149.0,0.154814294343
1076,object,pool table,0.152509185762,pool table,221990.0,454904.0,89572.0,0.152509185762
978,object,pool table,0.150438052848,pool table,221990.0,431422.0,85444.0,0.150438052848
